product_id,category_id,name,description,price,stock_quantity,created_at
1,1,Smartphone 31,High-quality smartphone for everyday use,102.75,119,2024-04-28T13:06:10.611783
2,1,Mouse 28,High-quality mouse for everyday use,565.62,366,2024-06-04T13:06:10.611783
3,1,Keyboard 430,High-quality keyboard for everyday use,228.23,301,2024-03-01T13:06:10.611783
4,1,Smartphone 778,High-quality smartphone for everyday use,807.75,357,2024-04-07T13:06:10.611783
5,1,Camera 285,High-quality camera for everyday use,163.91,490,2024-07-03T13:06:10.611783
6,1,Camera 105,High-quality camera for everyday use,101.81,49,2024-03-21T13:06:10.611783
7,1,Camera 619,High-quality camera for everyday use,271.87,22,2024-06-24T13:06:10.611783
8,1,Monitor 550,High-quality monitor for everyday use,133.57,472,2024-03-26T13:06:10.611783
9,1,Laptop 566,High-quality laptop for everyday use,300.24,321,2024-05-27T13:06:10.611783
10,1,Camera 592,High-quality camera for everyday use,200.36,35,2024-01-01T13:06:10.611783
11,1,Headphones 792,High-quality headphones for everyday use,296.48,40,2024-02-18T13:06:10.611783
12,2,Sweater 285,High-quality sweater for everyday use,458.87,427,2024-03-23T13:06:10.611783
13,2,Jacket 380,High-quality jacket for everyday use,361.71,343,2024-02-27T13:06:10.611783
14,2,Jeans 624,High-quality jeans for everyday use,638.62,273,2024-06-24T13:06:10.611783
15,2,Dress 168,High-quality dress for everyday use,467.63,138,2024-06-01T13:06:10.611783
16,2,Socks 225,High-quality socks for everyday use,687.76,431,2024-07-04T13:06:10.611783
17,2,T-Shirt 235,High-quality t-shirt for everyday use,823.57,412,2024-03-10T13:06:10.611783
18,2,Sweater 275,High-quality sweater for everyday use,75.52,467,2024-05-14T13:06:10.611783
19,2,Hat 218,High-quality hat for everyday use,658.87,202,2024-06-02T13:06:10.611783
20,3,Garden Tool 272,High-quality garden tool for everyday use,148.22,381,2024-05-12T13:06:10.611783
21,3,Clock 270,High-quality clock for everyday use,749.53,219,2024-05-18T13:06:10.611783
22,3,Vase 371,High-quality vase for everyday use,227.12,70,2024-04-29T13:06:10.611783
